CharacterID,CharacterName,CharacterOccupation,PlayedBy,AdditionalInformation
10161,Philip Lipton,Kid,None,'{}'
10162,Phillip Halpert,Kid,None,'{}'
10163,Phyllis Vance,Saleswoman,Phyllis Smith,'{}'
10164,Phyllis' Sister,None,Maile Flanagan,'{}'
10165,Pizza Delivery Kid,Pizza Delivery,Kevin McHale,'{}'
10166,Josh Porter,Regional Manager of Dunder Mifflin,Charles Esten,'{}'
10167,Rachael Martin,None,Rachael Harris,'{}'
10168,Rachael Wallace,None,Jean Villepique,'{}'
10169,Ravi,Pediatrician,Sendhil Ramamurthy,'{}'
10170,Reed,None,Sean Davis,'{}'
10171,Reggie,Barber,Stanley Ulmann,'{}'
10172,Robert California,CEO,James Spader,'{}'
10173,Robert Dunder,Founder of Dunder Mifflin Paper Company,John Ingle,'{}'
10174,Robert Lipton,State Senator,Jack Coleman,'{}'
10175,Ronaldo,Receptionist,Adam Jamal Craig,'{}'
10176,Rolf Ahl,None,James Urbaniak,'{}'
10177,Ronni,Receptionist,Dale Raoul,'{}'
10178,Rory Flenderson,None,Warren Lieberstein,'{}'
10179,Rose,Safety trainer,Robin Lynch,'{}'
10180,Roy Anderson,"Warehouse Worker,Gravel Company Owner",David Denman,'{}'
10181,Ryan Howard,"Temp,VP of Northeastern Sales,CEO of WUPHF.com",B.J. Novak,'{}'
10182,Sadiq,IT Technician,Omi Vaidya,'{}'
10183,Sam,Movie Character,Jack Black,'{}'
10184,Sasha Flenderson,Kid,Delaney Ruth Farrell,'{}'
10185,Sconesy Cider,None,None,'{}'
10186,Scranton Strangler,None,None,'{}'
10187,Sensei Billy,Sensei,Michael Imperioli,'{}'
10188,Sensei Ira Glicksberg,Sensei,Lance Krall,'{}'
10189,Seth,Cece's Godfather,None,'{}'
10190,Sophie,Movie Character,Jessica Alba,'{}'
10191,Stacy,None,Trish Gates,'{}'
10192,Stanley Hudson,Salesman,Leslie David Baker,'{}'
10193,Sue,Office Administrator,None,'{}'
10194,Susan California,Bookkeeper,Maura Tierney,'{}'
10195,Sylvia,None,Peggy Stewart,'{}'
10196,Teddy Wallace,Kid,Owen Daniels,'{}'
10197,Teri Hudson,Interior decorator,Joanne Carlsen,'{}'
10198,Tiffany,Kid,Caitlin Williams,'{}'
10199,Toby Flenderson,Human Resources,Paul Lieberstein,'{}'
10200,Todd Packer,Traveling Salesman,David Koechner,'{}'
10201,Tom Halpert,None,Blake Robbins,'{}'
10202,Tom Witochkin,None,Greg Tuculescu,'{}'
10203,Tony Gardner,Dunder Mifflin Employee,Mike Bruner,'{}'
10204,Trevor Bortmen,None,Chris Gethard,'{}'
10205,Troy Underbridge,Banking,Noel Petok,'{}'
